# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
BA|DDI PROVEA S.L.|DAURA DAMM 1/3 C/24|CAJA|24.49
BA|DDI PROVEA S.L.|AK DAMM 1/3|CAJA|27.39
BA|DDI PROVEA S.L.|SUERO SANGRÍA BARRIL 30L.|BARRIL|58.80
BA|ANMA|CINZANO BLANCO LITRO C/6|UNIDAD|6.35
BA|ANMA|MYSTIC ESSENCE GIN C/6|UNIDAD|6.84
BA|ANMA|TRIPLE SECO 25º CAIMAN 3L. C/4|UNIDAD|15.81
BA|ANMA|LICOR MELOCOTON EL TREN 1L. C/12|UNIDAD|4.28
BA|ANMA|NEGRITA RON AÑEJO 1L. C/6|UNIDAD|10.86
BA|ANMA|BRUT MONISTROL 75cl C/6|UNIDAD|2.76
BA|ANMA|RIOJA RAMÓN BILBAO CRIANZA C/12|UNIDAD|5.95
BA|ANMA|BLANCO VERDEJO RAMÓN BILBAO C/6|UNIDAD|4.60
BA|ANMA|ORUJO HIERBAS XARIS 70cl C/12|UNIDAD|5.19
BA|ANMA|LIMONCELLO LIBERTY 70cl C/6|UNIDAD|5.82
BA|ANMA|CREMA ORUJO XARIS 70cl C/12|UNIDAD|5.17
BA|ANMA|VERMOUT ROJO MIRO BOX 5L. C/4|UNIDAD|14.81
BA|ANMA|LADRON DE MANZANA C/24|CAJA|21.50
BA|DAMM BARRIL|TANQUES ESTRELLA DAMM|TANQUE|1497.44
BA|CARBOMAS|CARBOMAS SEMI SECO C/12|UNIDAD|1.54
BNA|ANMA|SEVEN UP LATA C/24|CAJA|11.04
BNA|ANMA|BITTER KAS C/24|CAJA|16.09
BNA|ANMA|GRANINI MELOCOTON C/12|CAJA|11.16
BNA|ANMA|GRANINI PIÑA C/12|CAJA|11.16
BNA|ANMA|GRANINI NARANJA C/12|CAJA|11.16
BNA|ANMA|TÓNICA SCHWEPPES LATA C/24|CAJA|13.09
BNA|DDI PROVEA S.L.|AGUA VERI 1/2 C/24|CAJA|5.33
